Date,Open,High,Low,Close,Volume,openinterest,tp_score
2015-06-25 00:00:00,3.003,3.003,2.917,2.933,599000.0,0,47.8337233083
2015-06-26 00:00:00,2.902,2.902,2.84,2.863,577000.0,0,45.7764929129
2015-06-29 00:00:00,2.855,2.855,2.482,2.598,2311600.0,0,33.8204058455
2015-06-30 00:00:00,2.552,2.7,2.505,2.645,1944155.0,0,36.4802063005
2015-07-02 00:00:00,2.622,2.622,2.513,2.521,2074000.0,0,32.410284692
2015-07-03 00:00:00,2.521,2.552,2.373,2.458,4755355.0,0,29.7569729051
2015-07-06 00:00:00,2.357,2.49,2.046,2.233,7514300.0,0,22.5036324349
2015-07-07 00:00:00,2.311,2.412,1.89,2.015,6943355.0,0,18.3628651837
2015-07-08 00:00:00,1.953,1.992,1.712,1.875,5213700.0,0,15.5402965761
2015-07-09 00:00:00,1.805,2.155,1.805,2.132,9094300.0,0,22.5816528327
2015-07-10 00:00:00,2.139,2.272,2.046,2.147,6553700.0,0,23.8315119898
2015-07-13 00:00:00,2.155,2.287,2.116,2.264,3437400.0,0,25.3402555588
2015-07-14 00:00:00,2.295,2.318,2.225,2.248,2388655.0,0,24.9111118747
2015-07-15 00:00:00,2.264,2.272,2.108,2.147,2272255.0,0,20.9343480669
2015-07-16 00:00:00,2.101,2.217,2.101,2.171,1981495.0,0,21.8589566592
2015-07-17 00:00:00,2.202,2.272,2.147,2.272,1970000.0,0,25.8168078614
2015-07-20 00:00:00,2.303,2.318,2.209,2.279,1738155.0,0,26.4415554045
2015-07-21 00:00:00,2.241,2.287,2.241,2.279,789500.0,0,25.7518294203
2015-07-22 00:00:00,2.256,2.256,2.155,2.194,1124000.0,0,23.1809965757
2015-07-23 00:00:00,2.217,2.256,2.178,2.225,712000.0,0,23.5290608728
2015-07-24 00:00:00,2.225,2.241,2.069,2.124,1848300.0,0,19.75284746
2015-07-27 00:00:00,2.124,2.124,1.945,1.968,1960300.0,0,14.7402984832
2015-07-28 00:00:00,1.961,2.023,1.914,1.937,2746400.0,0,11.743995099
